date,trial_number,trial_id,tank,tank_size,urchin_density,urchin_size,urchin_mass,tank_biomass,ad_lib_feeding,days_starved,time_in,time_out,time out_R,total_time,total_time_R,kelp_in1,kelp_in2,kelp_in3,kelp_in_total,kelp_out1,kelp_out2,kelp_out_R,Kelp_out_total,kelp_consumed,kelp_per_urchin,mortality,notes
7/3/19,1-P,P7-1,1-BI,1.6,7,65,110,490,8,5,14:49,13:00,,46.18333333,,99,99.5,50.7,249.2,140.4,83.3,,223.7,25.5,,,
7/3/19,1-P,P7-1,1-BI,1.6,7,69,122,490,8,5,,,,46.18333333,,99,99.5,50.7,249.2,140.4,83.3,,223.7,25.5,,,
7/3/19,1-P,P7-1,1-BI,1.6,7,54,67,490,8,5,,,,46.18333333,,99,99.5,50.7,249.2,140.4,83.3,,223.7,25.5,,,
7/3/19,1-P,P7-1,1-BI,1.6,7,49,58,490,8,5,,,,46.18333333,,99,99.5,50.7,249.2,140.4,83.3,,223.7,25.5,,,
7/3/19,1-P,P7-1,1-BI,1.6,7,49,54,490,8,5,,,,46.18333333,,99,99.5,50.7,249.2,140.4,83.3,,223.7,25.5,,,
7/3/19,1-P,P7-1,1-BI,1.6,7,43,31,490,8,5,,,,46.18333333,,99,99.5,50.7,249.2,140.4,83.3,,223.7,25.5,,,
7/3/19,1-P,P7-1,1-BI,1.6,7,48,48,490,8,5,,,,46.18333333,,99,99.5,50.7,249.2,140.4,83.3,,223.7,25.5,,,
7/3/19,1-R,R1-1,1-BD,1.6,1,87,229,229,8,5,14:50,13:22,13:15,46.53333333,94.41666667,99.2,99,50.4,248.6,166,80.4,233.2,479.6,15.4,,,
7/3/19,1-R,R7-1,2-BI,1.6,7,81,209,897,8,5,14:51,13:30,13:18,46.65,94.45,99.5,99.4,50.1,249,115.7,101,183.1,399.8,65.9,,,
7/3/19,1-R,R7-1,2-BI,1.6,7,84,265,897,8,5,,,,46.65,94.45,99.5,99.4,50.1,249,115.7,101,183.1,216.7,65.9,,,
7/3/19,1-R,R7-1,2-BI,1.6,7,70,127,897,8,5,,,,46.65,94.45,99.5,99.4,50.1,249,115.7,101,183.1,216.7,65.9,,,
7/3/19,1-R,R7-1,2-BI,1.6,7,66,157,897,8,5,,,,46.65,94.45,99.5,99.4,50.1,249,115.7,101,183.1,216.7,65.9,,,
7/3/19,1-R,R7-1,2-BI,1.6,7,38,31,897,8,5,,,,46.65,94.45,99.5,99.4,50.1,249,115.7,101,183.1,216.7,65.9,,,
7/3/19,1-R,R7-1,2-BI,1.6,7,46,49,897,8,5,,,,46.65,94.45,99.5,99.4,50.1,249,115.7,101,183.1,216.7,65.9,,,
7/3/19,1-R,R7-1,2-BI,1.6,7,48,59,897,8,5,,,,46.65,94.45,99.5,99.4,50.1,249,115.7,101,183.1,216.7,65.9,,,
7/3/19,1-P,P22-1,2-BD,1.6,22,54,69,1472,8,5,14:51,13:05,,46.23333333,,99.6,99.8,50.4,249.8,199.5,0,,199.5,50.3,,,
7/3/19,1-P,P22-1,2-BD,1.6,22,57,78,1472,8,5,,,,46.23333333,,99.6,99.8,50.4,249.8,199.5,0,,199.5,50.3,,,
7/3/19,1-P,P22-1,2-BD,1.6,22,49,57,1472,8,5,,,,46.23333333,,99.6,99.8,50.4,249.8,199.5,0,,199.5,50.3,,,
7/3/19,1-P,P22-1,2-BD,1.6,22,65,95,1472,8,5,,,,46.23333333,,99.6,99.8,50.4,249.8,199.5,0,,199.5,50.3,,,
7/3/19,1-P,P22-1,2-BD,1.6,22,64,99,1472,8,5,,,,46.23333333,,99.6,99.8,50.4,249.8,199.5,0,,199.5,50.3,,,
7/3/19,1-P,P22-1,2-BD,1.6,22,51,57,1472,8,5,,,,46.23333333,,99.6,99.8,50.4,249.8,199.5,0,,199.5,50.3,,,
7/3/19,1-P,P22-1,2-BD,1.6,22,53,64,1472,8,5,,,,46.23333333,,99.6,99.8,50.4,249.8,199.5,0,,199.5,50.3,,,
7/3/19,1-P,P22-1,2-BD,1.6,22,57,79,1472,8,5,,,,46.23333333,,99.6,99.8,50.4,249.8,199.5,0,,199.5,50.3,,,
7/3/19,1-P,P22-1,2-BD,1.6,22,57,83,1472,8,5,,,,46.23333333,,99.6,99.8,50.4,249.8,199.5,0,,199.5,50.3,,,
7/3/19,1-P,P22-1,2-BD,1.6,22,53,75,1472,8,5,,,,46.23333333,,99.6,99.8,50.4,249.8,199.5,0,,199.5,50.3,,,
7/3/19,1-P,P22-1,2-BD,1.6,22,50,46,1472,8,5,,,,46.23333333,,99.6,99.8,50.4,249.8,199.5,0,,199.5,50.3,,,
7/3/19,1-P,P22-1,2-BD,1.6,22,50,47,1472,8,5,,,,46.23333333,,99.6,99.8,50.4,249.8,199.5,0,,199.5,50.3,,,
7/3/19,1-P,P22-1,2-BD,1.6,22,68,126,1472,8,5,,,,46.23333333,,99.6,99.8,50.4,249.8,199.5,0,,199.5,50.3,,,
7/3/19,1-P,P22-1,2-BD,1.6,22,57,76,1472,8,5,,,,46.23333333,,99.6,99.8,50.4,249.8,199.5,0,,199.5,50.3,,,
7/3/19,1-P,P22-1,2-BD,1.6,22,49,50,1472,8,5,,,,46.23333333,,99.6,99.8,50.4,249.8,199.5,0,,199.5,50.3,,,
7/3/19,1-P,P22-1,2-BD,1.6,22,44,43,1472,8,5,,,,46.23333333,,99.6,99.8,50.4,249.8,199.5,0,,199.5,50.3,,,
7/3/19,1-P,P22-1,2-BD,1.6,22,42,40,1472,8,5,,,,46.23333333,,99.6,99.8,50.4,249.8,199.5,0,,199.5,50.3,,,
7/3/19,1-P,P22-1,2-BD,1.6,22,65,94,1472,8,5,,,,46.23333333,,99.6,99.8,50.4,249.8,199.5,0,,199.5,50.3,,,
7/3/19,1-P,P22-1,2-BD,1.6,22,56,76,1472,8,5,,,,46.23333333,,99.6,99.8,50.4,249.8,199.5,0,,199.5,50.3,,,
7/3/19,1-P,P22-1,2-BD,1.6,22,51,51,1472,8,5,,,,46.23333333,,99.6,99.8,50.4,249.8,199.5,0,,199.5,50.3,,,
7/3/19,1-P,P22-1,2-BD,1.6,22,39,25,1472,8,5,,,,46.23333333,,99.6,99.8,50.4,249.8,199.5,0,,199.5,50.3,,,
7/3/19,1-P,P22-1,2-BD,1.6,22,46,42,1472,8,5,,,,46.23333333,,99.6,99.8,50.4,249.8,199.5,0,,199.5,50.3,,,
7/3/19,1-P,P3-1,3-BI,1.6,3,69,137,301,8,5,14:52,13:47,,46.91666667,,99.8,99.6,50.9,250.3,130.5,99.1,,229.6,20.7,,,
7/3/19,1-P,P3-1,3-BI,1.6,3,46,42,301,8,5,,,,46.91666667,,99.8,99.6,50.9,250.3,130.5,99.1,,229.6,20.7,,,
